Symbols,Bigpointvalue,Cost,Weight,Distance
GE,25000,25,0.031746032,3
ZT,2000,31,0.031746032,3
ZF,1000,15,0.031746032,3
ZN,1000,31,0.031746032,3
ZB,1000,31,0.031746032,3
FGBS,1000,10,0.031746032,3
FGBM,1000,20,0.031746032,3
FGBL,1000,20,0.031746032,3
FGBX,1000,40,0.031746032,3
ES,25,25,0.057142857,3
YM,5,10,0.057142857,3
NQ,20,10,0.057142857,3
FDAX,25,25,0.057142857,3
FESX,10,20,0.057142857,3
SNK,5,30,0.071428571,3
GC,100,25,0.071428571,2
PL,50,20,0.071428571,3
PA,100,20,0.071428571,3
HG,25000,25,0.071428571,2
CL,1000,25,0.071428571,1
XRB,42000,25,0.071428571,1
HO,42000,25,0.071428571,1
NG,10000,25,0.047619048,1
SB,1120,20,0.047619048,2
KC,375,38,0.047619048,2
CC,10,20,0.047619048,2
ZS,50,25,0.047619048,2
ZC,50,25,0.047619048,2
ZW,50,25,0.047619048,2
ZL,600,15,0.047619048,2
ZM,100,25,0.047619048,2
LE,400,30,0.047619048,3
HE,400,30,0.040816327,3
BP,65000,15,0.040816327,3
EC,125000,25,0.040816327,3
AD,100000,20,0.040816327,3
JY,125000,25,0.040816327,3
CD,100000,20,0.040816327,3
ND,100000,20,0.040816327,3
MP,500000,10,0.057142857,3
STW,100,20,0.057142857,1
SIN,2,4,0.057142857,1
SGP,200,20,0.057142857,1
SCN,1,5,0.057142857,1
DX,1000,10,0.057142857,3
HSI,50,300,0.057142857,1
TXF,200,500,0.057142857,1
NKD,5,25,0.057142857,3
CGB,1000,20,0.057142857,3
R,1000,20,0.057142857,3
YT,3000,60,0.057142857,3
XT,9600,96,0.057142857,3
